step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,diag/info_retention_ratio,diag/residual_visibility,diag/conflict_resolution_rate,train/expert_load_r,train/expert_load_R,train/load_cv,train/load_max_min_ratio,train/utilization_ratio,train/routing_entropy,train/routing_entropy_raw,train/active_experts,train/expert_purity,train/intra_expert_coherence,train/intra_expert_conflict,train/inter_expert_similarity,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,1,1,0.0,128.0,128.0,0.8097552340477705,54.0,74.0,0.7297297297297297,0.0,54.0,0.0,1.0,0.15060258490782516,0.0,0.15060258490782516,0.0,0.6,0.008,1.000000000002666,0.6489589661376696,-3.2708299936638312e-09,0.0,54.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5072061699141616,-6.983522315433659e-05,0.5000349176115771,nan,2224.4225239846855,8634.5830078125,,,,,,,,,,
2,1,2,0.0,128.0,128.0,0.7484020926058292,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.15109954358559224,0.0,0.15109954358559224,0.0,0.6,0.008,0.9999999999986928,0.6501149482573929,6.4558923770769745e-09,0.0,49.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5078955357327838,-0.00016355848299786068,0.5000817792414989,nan,1659.675071015954,9024.8896484375,,,,,,,,,,
3,1,3,0.0,128.0,128.0,0.6408523265272379,22.0,74.0,0.2972972972972973,0.0,22.0,0.0,1.0,0.1506627501392728,0.0,0.1506627501392728,0.0,0.6,0.008,1.0000000000131313,0.6600805900541346,-2.103528860833613e-09,0.0,22.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5078269803505511,-0.001317885016829197,0.5006589425084146,nan,1724.0385389886796,8781.39697265625,,,,,,,,,,
4,1,4,0.0,128.0,128.0,0.655791100114584,25.0,74.0,0.33783783783783783,0.0,25.0,0.0,1.0,0.15026307666783056,0.0,0.15026307666783056,0.0,0.6,0.008,0.9999999999519743,0.6521643167674506,3.840813926756773e-10,0.0,25.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5032423826631081,-0.0005179444221236432,0.5002589722110619,nan,1603.3115310128778,8776.3837890625,,,,,,,,,,
5,1,5,0.0,128.0,128.0,0.6372716790065169,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.1505051981127348,0.0,0.1505051981127348,0.0,0.6,0.008,1.000000000173583,0.6649345659780652,1.2508003830198397e-09,0.0,49.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5036057361937553,-5.461071480970189e-05,0.5000273053574048,nan,1615.5873409006745,9013.09765625,,,,,,,,,,
6,1,6,0.0,128.0,128.0,0.6077109342440963,53.0,74.0,0.7162162162162162,0.0,53.0,0.0,1.0,0.1501598402012521,0.0,0.1501598402012521,0.0,0.6,0.008,1.0000000001709777,0.6694798472059618,-3.102013458488822e-09,0.0,53.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5027863990991653,-1.6613917728310153e-05,0.5000083069588641,nan,1623.4539550496265,9076.791015625,,,,,,,,,,
7,1,7,0.0,128.0,128.0,0.6215828722342849,47.0,74.0,0.6351351351351351,0.0,47.0,0.0,1.0,0.15054120936408216,0.0,0.15054120936408216,0.0,0.6,0.008,1.0000000001619753,0.6616591366136242,-6.977770559579148e-09,0.0,47.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5041341960185419,-2.8699182958818727e-05,0.5000143495914794,nan,1610.0778919644654,8996.939453125,,,,,,,,,,
8,1,8,0.0,128.0,128.0,0.5985649740323424,28.0,74.0,0.3783783783783784,0.0,28.0,0.0,1.0,0.15106129700707746,0.0,0.15106129700707746,0.0,0.6,0.008,1.0000000002950584,0.6773598559955617,-6.886761699192091e-10,0.0,28.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5084399604525903,-0.0006659875222620495,0.500332993761131,nan,1601.799978991039,8787.1240234375,,,,,,,,,,
9,1,9,0.0,128.0,128.0,0.605349731631577,21.0,74.0,0.28378378378378377,0.0,21.0,0.0,1.0,0.15004066089910215,0.0,0.15004066089910215,0.0,0.6,0.008,1.000000000136103,0.6859961174137917,2.9940053589279856e-09,0.0,21.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5032804869120167,-0.00067567265964149,0.5003378363298208,nan,1608.524943003431,8781.00390625,,,,,,,,,,
10,1,10,0.0,128.0,128.0,0.6618787627667189,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.15058872616079347,0.0,0.15058872616079347,0.0,0.6,0.008,0.9999999999954883,0.6697460919534929,-2.1001345182422657e-11,0.0,16.0,1.0,nan,0.5,-1.4426950249075512e-08,-9.999999889225291e-09,1.0,0.5025104179304372,-0.0006067585010263745,0.5003033792505132,nan,1606.069491012022,8752.1357421875,,,,,,,,,,
